"Var1","Freq"
"A1BG",9
"A1CF",5
"A2M",10
"A2ML1",5
"A4GALT",10
"A4GNT",6
"AAAS",10
"AACS",10
"AADAC",9
"AADACL2",3
"AADACL3",3
"AADACL4",3
"AADAT",10
"AAGAB",10
"AAK1",10
"AAMDC",8
"AAMP",10
"AANAT",6
"AAR2",8
"AARD",1
"AARS1",8
"AARS2",10
"AARSD1",3
"AASDH",10
"AASDHPPT",10
"AASS",10
"AATF",10
"AATK",10
"ABAT",10
"ABCA1",10
"ABCA10",3
"ABCA12",4
"ABCA13",3
"ABCA2",10
"ABCA3",10
"ABCA4",10
"ABCA5",10
"ABCA6",10
"ABCA7",10
"ABCA8",10
"ABCA9",8
"ABCB1",8
"ABCB10",10
"ABCB11",4
"ABCB4",7
"ABCB5",3
"ABCB6",10
"ABCB7",10
"ABCB8",10
"ABCB9",10
"ABCC1",10
"ABCC10",10
"ABCC11",5
"ABCC12",5
"ABCC2",7
"ABCC3",10
"ABCC4",10
"ABCC5",10
"ABCC6",10
"ABCC8",10
"ABCC9",7
"ABCD1",10
"ABCD2",3
"ABCD3",10
"ABCD4",10
"ABCE1",10
"ABCF1",10
"ABCF2",10
"ABCF3",10
"ABCG1",10
"ABCG2",10
"ABCG4",10
"ABCG5",5
"ABCG8",7
"ABHD1",6
"ABHD10",10
"ABHD11",10
"ABHD12",10
"ABHD12B",3
"ABHD13",10
"ABHD14A",10
"ABHD14B",10
"ABHD15",10
"ABHD16A",10
"ABHD16B",9
"ABHD17A",1
"ABHD17B",8
"ABHD17C",8
"ABHD18",8
"ABHD2",10
"ABHD3",10
"ABHD4",10
"ABHD5",10
"ABHD6",10
"ABHD8",10
"ABI1",10
"ABI2",10
"ABI3",10
"ABI3BP",10
"ABITRAM",8
"ABL1",10
"ABL2",10
"ABLIM1",10
"ABLIM2",10
"ABLIM3",10
"ABO",9
"ABR",10
"ABRA",4
"ABRACL",8
"ABRAXAS1",8
"ABRAXAS2",8
"ABT1",10
"ABTB1",10
"ABTB2",10
"ABTB3",5
"ACAA1",10
"ACAA2",10
"ACACA",10
"ACACB",10
"ACAD10",10
"ACAD11",3
"ACAD8",10
"ACAD9",10
"ACADL",10
"ACADM",10
"ACADS",10
"ACADSB",10
"ACADVL",10
"ACAN",10
"ACAP1",10
"ACAP2",10
"ACAP3",10
"ACAT1",10
"ACAT2",10
"ACBD3",10
"ACBD4",10
"ACBD5",10
"ACBD6",10
"ACBD7",3
"ACCS",10
"ACCSL",3
"ACD",10
"ACE",10
"ACE2",7
"ACER1",8
"ACER2",10
"ACER3",10
"ACHE",8
"ACIN1",10
"ACKR1",8
"ACKR2",8
"ACKR3",8
"ACLY",10
"ACMSD",5
"ACO1",10
"ACO2",10
"ACOD1",3
"ACOT1",3
"ACOT11",10
"ACOT12",4
"ACOT13",10
"ACOT2",1
"ACOT4",10
"ACOT6",5
"ACOT7",10
"ACOT8",10
"ACOT9",10
"ACOX1",10
"ACOX2",10
"ACOX3",10
"ACOXL",10
"ACP1",10
"ACP2",10
"ACP3",8
"ACP4",8
"ACP5",10
"ACP6",10
"ACP7",1
"ACR",3
"ACRBP",10
"ACRV1",6
"ACSBG1",7
"ACSBG2",6
"ACSF2",10
"ACSF3",10
"ACSL1",10
"ACSL3",10
"ACSL4",3
"ACSL5",10
"ACSL6",3
"ACSM1",5
"ACSM2A",2
"ACSM2B",3
"ACSM3",10
"ACSM4",3
"ACSM5",8
"ACSM6",1
"ACSS1",10
"ACSS2",10
"ACSS3",10
"ACTA1",7
"ACTA2",10
"ACTB",3
"ACTBL2",3
"ACTC1",9
"ACTG1",10
"ACTG2",10
"ACTL10",8
"ACTL6A",10
"ACTL6B",8
"ACTL7A",9
"ACTL7B",10
"ACTL8",10
"ACTL9",5
"ACTMAP",8
"ACTN1",10
"ACTN2",7
"ACTN3",10
"ACTN4",10
"ACTR10",10
"ACTR1A",10
"ACTR1B",10
"ACTR2",10
"ACTR3",10
"ACTR3B",10
"ACTR3C",8
"ACTR5",10
"ACTR6",10
"ACTR8",10
"ACTRT1",3
"ACTRT2",7
"ACTRT3",7
"ACVR1",10
"ACVR1B",10
"ACVR1C",7
"ACVR2A",10
"ACVR2B",10
"ACVRL1",10
"ACY1",3
"ACY3",9
"ACYP1",10
"ACYP2",10
"ADA",10
"ADA2",8
"ADAD1",6
"ADAD2",10
"ADAM10",10
"ADAM11",10
"ADAM12",10
"ADAM15",10
"ADAM17",10
"ADAM18",2
"ADAM19",10
"ADAM2",2
"ADAM20",9
"ADAM21",5
"ADAM22",7
"ADAM23",6
"ADAM28",10
"ADAM29",4
"ADAM30",4
"ADAM32",5
"ADAM33",10
"ADAM7",4
"ADAM8",10
"ADAM9",10
"ADAMDEC1",9
"ADAMTS1",10
"ADAMTS10",10
"ADAMTS12",10
"ADAMTS13",10
"ADAMTS14",10
"ADAMTS15",10
"ADAMTS16",10
"ADAMTS17",8
"ADAMTS18",6
"ADAMTS19",3
"ADAMTS2",10
"ADAMTS20",4
"ADAMTS3",7
"ADAMTS4",3
"ADAMTS5",9
"ADAMTS6",7
"ADAMTS7",3
"ADAMTS8",10
"ADAMTS9",10
"ADAMTSL1",5
"ADAMTSL2",10
"ADAMTSL3",10
"ADAMTSL4",10
"ADAMTSL5",10
"ADAP1",10
"ADAP2",10
"ADAR",10
"ADARB1",10
"ADARB2",6
"ADAT1",10
"ADAT2",10
"ADAT3",10
"ADCK1",10
"ADCK2",10
"ADCK5",10
"ADCY1",10
"ADCY10",5
"ADCY2",8
"ADCY3",10
"ADCY4",10
"ADCY5",9
"ADCY6",10
"ADCY7",10
"ADCY8",6
"ADCY9",10
"ADCYAP1",5
"ADCYAP1R1",9
"ADD1",10
"ADD2",10
"ADD3",10
"ADGB",2
"ADGRA1",5
"ADGRA2",8
"ADGRA3",7
"ADGRB1",8
"ADGRB2",8
"ADGRB3",4
"ADGRD1",8
"ADGRD2",1
"ADGRE1",7
"ADGRE2",8
"ADGRE3",6
"ADGRE5",8
"ADGRF1",7
"ADGRF3",3
"ADGRF4",3
"ADGRF5",8
"ADGRG1",8
"ADGRG2",8
"ADGRG3",7
"ADGRG4",2
"ADGRG5",8
"ADGRG6",8
"ADGRL1",8
"ADGRL2",8
"ADGRL3",5
"ADGRL4",8
"ADGRV1",8
"ADH1A",7
"ADH1B",10
"ADH1C",10
"ADH4",3
"ADH5",10
"ADH6",7
"ADH7",5
"ADHFE1",10
"ADI1",10
"ADIG",10
"ADIPOQ",3
"ADIPOR1",10
"ADIPOR2",10
"ADIRF",8
"ADISSP",8
"ADK",10
"ADM",10
"ADM2",10
"ADM5",8
"ADNP",10
"ADNP2",10
"ADO",10
"ADORA1",10
"ADORA2A",3
"ADORA2B",10
"ADORA3",10
"ADPGK",10
"ADPRH",10
"ADPRHL1",10
"ADPRM",8
"ADPRS",8
"ADRA1A",7
"ADRA1B",6
"ADRA1D",5
"ADRA2A",10
"ADRA2B",10
"ADRA2C",10
"ADRB1",9
"ADRB2",10
"ADRB3",9
"ADRM1",10
"ADSL",10
"ADSS1",8
"ADSS2",8
"ADTRP",8
"AEBP1",10
