"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"AGER",-3.50624319056728,9.85792043516148,-17.8695556375789,3.6435319220707e-27,5.94041444574408e-23,51.2955704836706,"Down"
"SH3GL3",-1.3414853365721,7.30435512213684,-15.4836970889144,8.40068686008392e-24,6.84823992834041e-20,43.7506157896456,"Down"
"GPM6A",-3.85076033316977,7.54816646278816,-15.3035159074941,1.55078587423682e-23,8.42800429785237e-20,43.151004073733,"Down"
"GRK5",-1.63315958426642,8.73912374925129,-14.9236223460122,5.7240680049009e-23,2.33313011879761e-19,41.8727065061125,"Down"
"FHL1",-3.00136732448462,9.97206624677705,-14.7962871398427,8.90393712718249e-23,2.90339581843167e-19,41.4399479438531,"Down"
"PTPRB",-2.14346394397959,8.46345182541363,-14.3203353996405,4.72840965358707e-22,1.15652138269564e-18,39.8032347917518,"Down"
"CA4",-2.89796539601895,8.53408346165519,-14.3041465286093,5.00726246723522e-22,1.15652138269564e-18,39.7470317248422,"Down"
"MYZAP",-2.32895287317313,8.52919687547701,-14.2393515033447,6.30010647552612e-22,1.15652138269564e-18,39.5217311578593,"Down"
"NCKAP5",-3.26091798297048,5.97578405413094,-14.2356182984384,6.38413422734345e-22,1.15652138269564e-18,39.5087332130708,"Down"
"EMP2",-2.00619033486771,11.5882713504683,-14.1373479045258,9.05415920549786e-22,1.47619011686437e-18,39.1659133156553,"Down"
"RXFP1",-2.06614980122299,6.324884497089,-13.8891315257776,2.200528011865e-21,3.26158260958609e-18,38.2942472962854,"Down"
"ACVRL1",-1.62045111741724,9.18731039324918,-13.8488251780607,2.54377263174144e-21,3.41475001791304e-18,38.151924960946,"Down"
"FAM107A",-2.98533407035092,9.97351865762584,-13.8299378135864,2.72275209966079e-21,3.41475001791304e-18,38.0851586479871,"Down"
"ADAMTS8",-2.44665619454415,8.34826581648398,-13.7347953252075,3.83762093093836e-21,4.4691836898585e-18,37.7481075984193,"Down"
"TNNC1",-2.63688476836151,8.43328478809444,-13.7129965935691,4.15225186167346e-21,4.51322095684828e-18,37.6707132989309,"Down"
"CLEC3B",-3.00926040301719,10.7810373180434,-13.6771222394589,4.72780967403778e-21,4.8176380578445e-18,37.543206718337,"Down"
"GDF10",-3.07668962245613,7.38394734978045,-13.5317196126222,8.01477669706866e-21,7.68664230994161e-18,37.0246503276477,"Down"
"RAMP3",-2.28609853154367,10.4503938066357,-13.4764496959954,9.80243491121472e-21,8.87882771069138e-18,36.826799390881,"Down"
"STARD13",-1.49774341651444,8.74981833011439,-13.4473469122407,1.09004795454461e-20,9.13430538109332e-18,36.7224560575262,"Down"
"ROBO4",-1.62488896871955,8.39362922258271,-13.4397997189308,1.12049869738633e-20,9.13430538109332e-18,36.6953784104148,"Down"
"SASH1",-1.37814827059955,10.4778284417532,-13.3777521660509,1.40573933757174e-20,1.09138924570331e-17,36.47247848218,"Down"
"ARHGEF26",-1.76606407872207,7.767414113453,-13.3575596480424,1.51357568800834e-20,1.11947048549818e-17,36.399828419717,"Down"
"TCF21",-2.85339167448833,8.57455198127268,-13.34596477614,1.57923338852171e-20,1.11947048549818e-17,36.3580870937165,"Down"
"SLC6A4",-3.74615457137417,7.92785762891394,-13.3261027695775,1.69845892575725e-20,1.14660385461336e-17,36.286542751298,"Down"
"NPR1",-1.25114300941343,8.21954912288862,-13.3166793738177,1.75816341789341e-20,1.14660385461336e-17,36.2525807003032,"Down"
"CDH5",-2.083517702477,10.1083910332569,-13.2333702378911,2.38737200525401e-20,1.49706589129467e-17,35.9518210311795,"Down"
"FBLN5",-1.88328445234214,10.3354687220122,-13.2092744215827,2.60867216138096e-20,1.5325617821257e-17,35.8646596846616,"Down"
"SPTBN1",-1.16040766157843,8.96643599349734,-13.2068581796595,2.63197558264963e-20,1.5325617821257e-17,35.855915216736,"Down"
"LIMS2",-1.43359977126366,8.81105884333636,-13.1775069787692,2.93241464131812e-20,1.6486237348983e-17,35.749630444101,"Down"
"CAVIN2",-2.7347907756119,9.15149378012897,-13.1316277597129,3.4729510299097e-20,1.88743311972159e-17,35.5832671701289,"Down"
"ECSCR",-1.5229773029369,9.19944210122189,-13.11158628158,3.73964637502652e-20,1.96681272575588e-17,35.5105071917594,"Down"
"EDNRB",-2.52698658288656,9.16048837706035,-13.0663836403249,4.41960874083626e-20,2.25179065345607e-17,35.3462057023334,"Down"
"ERG",-1.53705832819004,7.64537474174007,-13.0336073021052,4.98956243857349e-20,2.46514624237885e-17,35.2269024959557,"Down"
"STXBP6",-2.64388005459224,7.69687168857103,-12.9711748550618,6.28880906572124e-20,3.01566891198586e-17,34.9992620295152,"Down"
"ADRB1",-3.0167570197499,7.53990455536841,-12.9479814432336,6.85425988676237e-20,3.19291009125067e-17,34.9145638630044,"Down"
"LDB2",-1.954433590925,10.1835094847149,-12.9268267462603,7.41466774300409e-20,3.35802063560941e-17,34.8372490851043,"Down"
"KANK3",-1.79769283457023,8.16863680906476,-12.9007820195907,8.16857241877121e-20,3.59947039772016e-17,34.7419818609862,"Down"
"JAM2",-2.06872005714974,8.78410707069505,-12.8834130645446,8.71389912729404e-20,3.73473452178667e-17,34.6783996896723,"Down"
"CAV1",-2.14267812965236,12.1098259578717,-12.8767212614393,8.93367556119235e-20,3.73473452178667e-17,34.6538925912034,"Down"
"TMEM100",-4.40837088393427,9.97991292520433,-12.8570952277643,9.61104995283644e-20,3.91746396077613e-17,34.5819831840745,"Down"
"SPOCK2",-1.41318537466914,9.07760189288608,-12.8310009550528,1.05926610057449e-19,4.21226207408939e-17,34.4862961606135,"Down"
"FXYD1",-2.38473430596342,8.70613326852403,-12.784135229427,1.26168802855268e-19,4.8977527660769e-17,34.3142171391836,"Down"
"CLIC5",-1.83854409299496,8.25201138506783,-12.7692073256547,1.33403794176471e-19,5.05817548896089e-17,34.2593454168307,"Down"
